,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
0,1.0,1.0,2.0,1.0,1.0,1.0,3865.0,1.0,7.0,1.0,7.0,28,58,88,363,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2
1,12.0,13.0,3.1,1.0,5.0,1.0,999.0,1.0,365.0,1.0,365.0,1,24,54,325,0.0,0.0,4.58,4.56,4.7,4.87,4.78,4.98,4.48,8.0,0.41
2,3.0,4.0,4.0,1.0,2.0,2.0,2029.0,2.0,30.0,2.0,30.0,3,20,50,325,4.0,0.0,4.9,4.81,4.75,4.94,4.92,4.98,4.91,2.0,0.31
3,3.0,4.0,2.0,1.0,1.0,1.0,1140.0,5.0,180.0,3.7,180.0,7,27,57,257,7.0,2.0,4.91,4.9,4.96,4.96,4.98,4.96,4.92,3.0,0.83
4,5.0,7.0,2.0,1.5,1.0,1.0,3633.0,1.0,365.0,1.0,1125.0,9,9,20,275,0.0,0.0,4.91,5.0,5.0,5.0,4.73,4.91,4.82,3.0,0.11
5,3.0,4.0,2.0,1.0,2.0,1.0,999.0,1.0,730.0,1.0,730.0,0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,3.0,1.2
6,7.0,8.0,3.1,1.4,5.0,1.7,3671.0,2.0,365.0,2.0,365.0,9,17,30,230,36.0,0.0,4.88,4.91,4.84,4.92,4.9,4.75,4.9,7.0,2.23
7,2.0,2.0,2.0,1.0,1.0,1.0,335.0,4.0,90.0,4.0,90.0,0,10,40,315,11.0,0.0,4.84,4.87,4.61,4.98,4.95,4.97,4.81,2.0,0.84
8,3.0,3.0,6.0,1.0,2.0,1.0,999.0,2.0,365.0,2.0,365.0,0,0,0,158,9.0,0.0,4.86,4.96,4.95,4.98,4.89,4.98,4.91,3.0,0.59
9,1.0,2.0,6.0,4.5,3.0,3.0,7246.0,7.0,90.0,7.0,90.0,29,59,85,353,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.96,4.74,1.0,0.17
10,2.0,2.0,1.0,1.5,1.0,1.0,384.0,3.0,200.0,2.6,200.0,1,1,17,292,17.0,1.0,4.96,4.9,4.92,4.92,4.94,4.92,4.89,2.0,0.54
11,2.0,2.0,1.0,1.0,1.0,1.0,947.0,2.0,1125.0,2.0,1125.0,30,60,90,365,2.0,0.0,4.83,4.6,4.97,4.97,4.77,4.93,4.73,1.0,0.22
12,5.0,5.0,2.0,1.0,1.0,1.0,1200.0,2.0,365.0,2.0,365.0,0,23,44,292,0.0,0.0,4.93,4.94,4.97,4.96,4.91,4.97,4.94,5.0,1.15
13,2.0,2.0,1.0,1.0,1.0,3.0,526.0,1.0,14.0,1.0,14.0,21,51,81,356,8.0,1.0,4.92,4.86,4.82,4.98,4.96,4.92,4.88,1.0,0.41
14,3.0,4.0,6.0,3.5,3.0,3.0,4734.0,10.0,21.0,10.0,21.0,23,53,83,173,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.05
15,1.0,3.0,2.0,1.5,1.0,2.0,750.0,2.0,28.0,2.0,1125.0,0,1,30,30,6.0,0.0,4.88,4.88,4.62,4.95,4.95,4.95,4.87,1.0,1.09
16,2.0,2.0,2.0,1.0,1.0,1.0,406.0,3.0,1125.0,3.0,1125.0,0,0,0,0,0.0,0.0,4.94,5.0,5.0,4.94,5.0,4.56,4.81,2.0,0.13
17,2.0,8.0,2.0,1.5,1.0,1.0,1642.0,3.0,365.0,3.0,1125.0,6,36,66,341,7.0,1.0,4.81,4.88,4.73,4.9,4.88,4.9,4.73,1.0,0.34
18,6.0,8.0,4.0,1.0,1.0,1.0,999.0,4.0,365.0,4.0,365.0,0,0,0,0,0.0,0.0,4.57,4.64,4.64,4.84,4.88,4.92,4.51,6.0,0.66
19,6.0,8.0,3.0,1.0,1.0,1.0,999.0,14.0,365.0,14.0,365.0,0,0,0,0,0.0,0.0,4.67,4.58,4.58,4.83,4.79,5.0,4.63,6.0,0.18
20,6.0,8.0,2.0,1.0,1.0,1.0,11000.0,1.0,180.0,1.0,1125.0,0,0,16,16,6.0,0.0,4.71,4.71,4.81,4.88,5.0,4.96,4.69,6.0,0.49
21,2.0,5.0,3.0,1.0,2.0,2.0,800.0,2.0,365.0,2.0,365.0,7,8,8,250,20.0,1.0,4.62,4.76,4.66,4.77,4.79,4.87,4.63,2.0,1.27
22,6.0,7.0,3.0,1.0,1.0,1.0,900.0,3.0,360.0,2.8,360.0,0,0,0,119,0.0,0.0,4.63,4.78,4.39,4.67,4.83,4.89,4.61,6.0,0.35
23,3.0,4.0,2.0,1.0,1.0,1.0,999.0,5.0,21.0,5.0,21.0,0,0,0,0,0.0,0.0,4.78,4.84,4.89,4.95,4.84,4.95,4.68,3.0,0.15
24,1.0,1.0,4.0,1.5,2.0,2.0,2811.0,7.0,45.0,6.0,45.0,0,11,41,53,0.0,0.0,4.86,4.95,4.9,5.0,4.86,5.0,4.76,1.0,0.19
